Time,Prey,Predator
1895.750000,27010.162846,1549.770492
1896.000000,26963.232739,1417.464509
1896.250000,27311.255536,1297.043446
1896.500000,28030.687203,1188.741142
1896.750000,29110.155110,1092.398696
1897.000000,30548.131302,1007.624538
1897.250000,32350.998128,933.911832
1897.500000,34531.351208,870.724807
1897.750000,37106.364369,817.563618
1898.000000,40096.023114,774.015523
1898.250000,43521.006057,739.798800
1898.500000,47399.951647,714.804828
1898.750000,51745.788465,699.143166
1899.000000,56560.733775,693.194037
1899.250000,61829.489374,697.671949
1899.500000,67510.118969,713.702674
1899.750000,73522.152098,742.911953
1900.000000,79731.777510,787.515600
1900.250000,85934.839710,850.382801
1900.500000,91840.165473,935.011620
1900.750000,97059.011558,1045.303523
1901.000000,101111.213808,1184.960149
1901.250000,103463.360232,1356.294061
1901.500000,103613.905269,1558.354075
1901.750000,101225.697772,1784.666305
1902.000000,96272.347497,2021.595673
1902.250000,89125.938323,2248.875295
1902.500000,80512.121364,2443.310877
1902.750000,71325.853487,2584.716825
1903.000000,62395.523082,2661.227741
1903.250000,54313.444123,2671.334460
1903.500000,47389.263388,2622.253693
1903.750000,41700.143231,2526.303692
1904.000000,37177.464505,2397.293025
1904.250000,33684.715114,2248.030920
1904.500000,31069.558166,2089.100778
1904.750000,29191.633121,1928.555027
1905.000000,27933.899529,1772.120007
1905.250000,27204.863843,1623.607752
1905.500000,26936.620626,1485.360731
1905.750000,27081.460587,1358.649203
1906.000000,27608.364566,1243.995001
1906.250000,28499.901117,1141.421890
1906.500000,29749.645392,1050.643205
1906.750000,31360.056577,971.200044
1907.000000,33340.677295,902.562563
1907.250000,35706.488927,844.205010
1907.500000,38476.239463,795.663199
1907.750000,41670.539126,756.581501
1908.000000,45309.485238,726.755254
1908.250000,49409.527666,706.173694
1908.500000,53979.219458,695.068042
1908.750000,59013.420285,693.968879
1909.000000,64485.453271,703.776010
1909.250000,70336.708224,725.841603
1909.500000,76463.342086,762.061668
1909.750000,82700.255160,814.958509
1910.000000,88803.768312,887.712585
1910.250000,94436.876636,984.060362
1910.500000,99164.997149,1107.914683
1910.750000,102475.262332,1262.506958
1911.000000,103835.616845,1448.867945
1911.250000,102804.090737,1663.694327
1911.500000,99174.757010,1897.213004
1911.750000,93106.775839,2132.378510
1912.000000,85155.667175,2346.881808
1912.250000,76156.702087,2518.180748
1912.500000,67000.883486,2629.546781
1912.750000,58418.074375,2674.035962
1913.000000,50864.618381,2654.669406
1913.250000,44529.630568,2581.582132
1913.500000,39409.911036,2468.195853
1913.750000,35396.290254,2328.071528
1914.000000,32339.879636,2173.045228
1914.250000,30091.781583,2012.493836
1914.500000,28522.025047,1853.319034
1914.750000,27525.793975,1700.279976
1915.000000,27023.197346,1556.435685
1915.250000,26956.390532,1423.573120
1915.500000,27286.025827,1302.570676
1915.750000,27987.905449,1193.686093
1916.000000,29050.127154,1096.775357
1916.250000,30470.735299,1011.455145
1916.500000,32255.770908,937.222009
1916.750000,34417.567094,873.539962
1917.000000,36973.115261,819.906185
1917.250000,39942.309685,775.902710
1917.500000,43345.851503,741.240552
1917.750000,47202.551885,715.801766
1918.000000,51525.715861,699.684279
1918.250000,56318.215268,693.253920
1918.500000,61565.783180,697.207439
1918.750000,67228.014652,712.648830
1919.000000,73226.611580,741.177614
1919.250000,79430.709962,784.979320
1919.500000,85639.944207,846.891136
1919.750000,91567.658296,930.383740
1920.000000,96829.859623,1039.349052
1920.250000,100950.242659,1177.520040
1920.500000,103396.435517,1347.313768
1920.750000,103662.648657,1547.987509
1921.000000,101400.345627,1773.381603
1921.250000,96565.352263,2010.217365
1921.500000,89510.334653,2238.488466
1921.750000,80947.217839,2435.014687
1922.000000,71768.273795,2579.326317
1922.250000,62809.868124,2659.078620
1922.500000,54677.734806,2672.275998
1922.750000,47694.529691,2625.790433
1923.000000,41946.698483,2531.783185
1923.250000,37370.685761,2404.058581
1923.500000,33831.842063,2255.511042
1923.750000,31177.793005,2096.843723
1924.000000,29267.244209,1936.228881
1924.250000,27981.932957,1779.496229
1924.500000,27229.161264,1630.539656
1924.750000,26939.961230,1491.762782
1925.000000,27065.733403,1364.479502
1925.250000,27574.729997,1249.241430
1925.500000,28448.928294,1146.091596
1925.750000,29681.424994,1054.754796
1926.000000,31274.294367,974.777875
1926.250000,33236.775797,905.632529
1926.500000,35583.625656,846.791397
1926.750000,38333.450945,797.786205
1927.000000,41506.821221,758.255120
1927.250000,45123.922258,727.985258
1927.500000,49201.465602,706.955481
1927.750000,53748.502163,695.384138
1928.000000,58760.711188,693.785906
1928.250000,64212.667656,703.041004
1928.500000,70047.578840,724.477745
1928.750000,76164.126955,759.963865
1929.000000,82400.558052,811.990106
1929.250000,88517.358957,883.706004
1929.500000,94182.244855,978.826945
1929.750000,98965.144775,1101.272143
1930.000000,102355.994627,1254.334768
1930.250000,103821.574401,1439.196570
1930.500000,102912.398404,1652.815894
1930.750000,99407.787732,1885.766709
1931.000000,93447.520678,2121.334527
1931.250000,85569.501739,2337.368770
1931.500000,76600.176731,2511.196342
1931.750000,67433.360435,2625.690899
1932.000000,58810.273034,2673.402374
1932.250000,51201.089036,2656.920536
1932.500000,44806.371725,2586.125575
1932.750000,39630.126052,2474.362225
1933.000000,35566.555291,2335.237662
1933.250000,32467.578382,2180.695182
1933.500000,30183.734164,2020.234450
1933.750000,28583.926758,1860.870292
1934.000000,27562.102489,1707.455112
1934.250000,27037.225951,1563.119587
1934.500000,26950.472193,1429.703010
1934.750000,27261.683244,1308.120351
